BUYER_COUNTY,all_active_wt,oxy_wt,hyd_wt,perc_oxy,perc_hyd,perc_retail,perc_chain,perc_practitioner,most_dist_channel,pharmacy_num,dominance,State,Year,est_death_rate_cat,Population,median_income,Political.affiliation,act_wt_person_county,political_aff
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,Ohio,2012,4,32905,41087,Republican,0.9067536347059717,Republican
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,Ohio,2012,4,32905,41087,Republican,0.9067536347059717,Republican
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,Ohio,2012,4,32905,36903,Republican,0.9067536347059717,Republican
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,Ohio,2012,4,32905,36903,Republican,0.9067536347059717,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,Ohio,2012,4,68338,40115,Republican,0.6399874481207382,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,Ohio,2012,4,68338,40115,Republican,0.6399874481207382,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,West Virginia,2012,3,54543,64314,Republican,0.8018528909241333,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,West Virginia,2012,3,54543,64314,Republican,0.8018528909241333,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,West Virginia,2012,3,54543,40115,Republican,0.8018528909241333,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,West Virginia,2012,3,54543,40115,Republican,0.8018528909241333,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,Ohio,2012,4,68338,64314,Republican,0.6399874481207382,Republican
JEFFERSON,43735.462229675,33682.825499675,10052.63673,77,23,0.3757179951215674,0.6241246360846644,1.5736879376819577e-4,CHAIN PHARMACY,32,No,Ohio,2012,4,68338,64314,Republican,0.6399874481207382,Republican
KANAWHA,62467.897369225,31620.784684225,30847.112685,50.6,49.4,0.3560955390912388,0.6358219781358478,0.00808248277291332,CHAIN PHARMACY,100,No,West Virginia,2012,5,192102,45642,Democrat,0.3251808797889923,Democrat
LEWIS,2917.5812,1017.07925,1900.50195,34.9,65.1,0.2488135593220339,0.7505084745762712,6.779661016949153e-4,CHAIN PHARMACY,6,Yes,West Virginia,2012,2,16437,35179,Republican,0.17750083348542922,Republican
LINCOLN,6768.76667015,3807.3163551499997,2961.450315,56.2,43.8,0.7710351861295257,0.22896481387047424,0,RETAIL PHARMACY,7,Yes,West Virginia,2012,5,21639,34066,Democrat,0.3128040422454827,Democrat
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,Ohio,2012,2,45447,36698,Democrat,0.7361300290514226,Democrat
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,Ohio,2012,2,45447,36698,Republican,0.7361300290514226,Republican
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,West Virginia,2012,6,36340,36698,Democrat,0.9206081846532747,Democrat
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,West Virginia,2012,6,36340,36698,Republican,0.9206081846532747,Republican
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,West Virginia,2012,6,36340,47345,Democrat,0.9206081846532747,Democrat
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,West Virginia,2012,6,36340,47345,Republican,0.9206081846532747,Republican
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,Ohio,2012,2,45447,47345,Democrat,0.7361300290514226,Democrat
LOGAN,33454.9014303,12949.9731603,20504.92827,38.7,61.3,0.3745002701242572,0.6251755807671528,3.2414910858995135e-4,CHAIN PHARMACY,24,No,Ohio,2012,2,45447,47345,Republican,0.7361300290514226,Republican
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,West Virginia,2012,2,56777,40966,Republican,0.4962109764195889,Republican
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,West Virginia,2012,2,56777,40966,Democrat,0.4962109764195889,Democrat
